,add,bases,confidence,support,union
17,frozenset({'³ÂÆ¤'}),frozenset({'ÃÛ¸Ê²İ'}),0.853658537,0.402298851,"frozenset({'³ÂÆ¤', 'ÃÛ¸Ê²İ'})"
18,frozenset({'ÃÛ¸Ê²İ'}),frozenset({'³ÂÆ¤'}),0.546875,0.402298851,"frozenset({'³ÂÆ¤', 'ÃÛ¸Ê²İ'})"
19,frozenset({'ôï³´°×Êõ'}),frozenset({'è×¿Ç'}),0.731707317,0.344827586,"frozenset({'ôï³´°×Êõ', 'è×¿Ç'})"
20,frozenset({'è×¿Ç'}),frozenset({'ôï³´°×Êõ'}),0.555555556,0.344827586,"frozenset({'ôï³´°×Êõ', 'è×¿Ç'})"
21,frozenset({'ôï³´°×Êõ'}),frozenset({'ÜòÜß'}),0.696969697,0.528735632,"frozenset({'ôï³´°×Êõ', 'ÜòÜß'})"
22,frozenset({'ÜòÜß'}),frozenset({'ôï³´°×Êõ'}),0.851851852,0.528735632,"frozenset({'ôï³´°×Êõ', 'ÜòÜß'})"
23,frozenset({'ôï³´°×Êõ'}),frozenset({'ÃÛ¸Ê²İ'}),0.707317073,0.333333333,"frozenset({'ôï³´°×Êõ', 'ÃÛ¸Ê²İ'})"
24,frozenset({'ÃÛ¸Ê²İ'}),frozenset({'ôï³´°×Êõ'}),0.537037037,0.333333333,"frozenset({'ôï³´°×Êõ', 'ÃÛ¸Ê²İ'})"
25,frozenset({'ôï³´°×Êõ'}),frozenset({'³ÂÆ¤'}),0.640625,0.471264368,"frozenset({'ôï³´°×Êõ', '³ÂÆ¤'})"
26,frozenset({'³ÂÆ¤'}),frozenset({'ôï³´°×Êõ'}),0.759259259,0.471264368,"frozenset({'ôï³´°×Êõ', '³ÂÆ¤'})"
27,"frozenset({'ÜòÜß', '³ÂÆ¤'})",frozenset({'É°ÈÊ'}),0.595744681,0.32183908,"frozenset({'É°ÈÊ', 'ÜòÜß', '³ÂÆ¤'})"
28,"frozenset({'ôï³´°×Êõ', 'ÜòÜß'})",frozenset({'³ÂÆ¤'}),0.578125,0.425287356,"frozenset({'ôï³´°×Êõ', 'ÜòÜß', '³ÂÆ¤'})"
29,"frozenset({'ôï³´°×Êõ', '³ÂÆ¤'})",frozenset({'ÜòÜß'}),0.560606061,0.425287356,"frozenset({'ôï³´°×Êõ', 'ÜòÜß', '³ÂÆ¤'})"
30,"frozenset({'ÜòÜß', '³ÂÆ¤'})",frozenset({'ôï³´°×Êõ'}),0.685185185,0.425287356,"frozenset({'ôï³´°×Êõ', 'ÜòÜß', '³ÂÆ¤'})"
31,"frozenset({'ôï³´°×Êõ', 'ÜòÜß'})",frozenset({'è×¿Ç'}),0.682926829,0.32183908,"frozenset({'ôï³´°×Êõ', 'ÜòÜß', 'è×¿Ç'})"
32,"frozenset({'ÜòÜß', 'è×¿Ç'})",frozenset({'ôï³´°×Êõ'}),0.518518519,0.32183908,"frozenset({'ôï³´°×Êõ', 'ÜòÜß', 'è×¿Ç'})"
33,"frozenset({'ÜòÜß', '³ÂÆ¤'})",frozenset({'ÃÛ¸Ê²İ'}),0.707317073,0.333333333,"frozenset({'ÜòÜß', '³ÂÆ¤', 'ÃÛ¸Ê²İ'})"
34,"frozenset({'ÜòÜß', '·¨°ëÏÄ'})",frozenset({'³ÂÆ¤'}),0.546875,0.402298851,"frozenset({'ÜòÜß', '·¨°ëÏÄ', '³ÂÆ¤'})"
35,"frozenset({'ÜòÜß', '³ÂÆ¤'})",frozenset({'·¨°ëÏÄ'}),0.897435897,0.402298851,"frozenset({'ÜòÜß', '·¨°ëÏÄ', '³ÂÆ¤'})"
36,"frozenset({'·¨°ëÏÄ', '³ÂÆ¤'})",frozenset({'ÜòÜß'}),0.53030303,0.402298851,"frozenset({'ÜòÜß', '·¨°ëÏÄ', '³ÂÆ¤'})"
37,"frozenset({'ÜòÜß', '³ÂÆ¤'})",frozenset({'è×¿Ç'}),0.731707317,0.344827586,"frozenset({'ÜòÜß', '³ÂÆ¤', 'è×¿Ç'})"
